,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,População,Imposto_Prod_Percapita,Capag_real,Capag_predito
0,Alta Floresta D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21552,0.05597990845865779,0.2622090505345573,0.3296316267694738,0.3521794142373111,23167,1219.881728320456,,0
1,Ariquemes,Norte,Rondônia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,23206,0.1535903942641957,0.4676361692814689,0.3050134930310123,0.07375949124399958,106168,2376.04551277221,0,0
2,Cabixi,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,25837,0.03839822024471635,0.1866518353726363,0.3126659251019652,0.4622691879866518,5438,1039.168812063258,0,0
3,Cacoal,Norte,Rondônia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,25708,0.1138255623946749,0.496921884869237,0.2805746565026045,0.1086773847912421,84813,2655.22974072371,1,1
4,Cerejeiras,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,28714,0.05657612536107013,0.5175309621511721,0.2722338618697544,0.1536590506180033,16444,4187.728046703965,0,0
5,Colorado do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20362,0.08475870593640994,0.3347570880333418,0.3427171711288433,0.2377637990952686,16227,1317.865286251309,0,0
6,Corumbiara,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,42371,0.03213713563676333,0.09861942475494226,0.1841261245579935,0.6851140916665861,7567,1373.59587683362,1,1
7,Costa Marques,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12890,0.03243901671618445,0.1927148180277689,0.4893091033311009,0.2855325671186943,17855,430.3556426771212,0,0
8,Espigão D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,18984,0.1096514040892054,0.3276976726312083,0.3481151011755706,0.2145340347076624,32047,1526.632758136487,0,0
9,Guajará-Mirim,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,18279,0.04017555705604321,0.5007817602196124,0.3941053895794822,0.06493452585204945,45783,2493.370901863137,0,0
10,Jaru,Norte,Rondônia,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,28433,0.1721860696283,0.4474345168568699,0.247823308176397,0.1325561053384331,51933,3095.392139872528,0,0
11,Ji-Paraná,Norte,Rondônia,Não,Polo,Polo,Média concentração urbana,Centro Subregional A,Centro Subregional,Região Rural de Capital Regional,Sim,Não,Não,26287,0.1382251255144421,0.5490547635494747,0.2641200961948855,0.04859932910409514,127907,3481.748457863916,0,0
12,Machadinho D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,16423,0.07678297969913113,0.2138969642871766,0.397322152432583,0.3119962657538509,39097,806.6092027521294,0,0
13,Nova Brasilândia D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18086,0.1061990911429306,0.2348080825402269,0.3619680471005173,0.2970219211752265,20459,984.114570604624,,0
14,Ouro Preto do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,22252,0.1095335336191505,0.3813199619385672,0.3172864122822961,0.1918587557332706,36340,1662.135388002201,1,1
15,Pimenta Bueno,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,31046,0.1888249257973309,0.438067150397025,0.2579911576246326,0.1151157162670519,36434,4904.676950101553,0,0
16,Porto Velho,Norte,Rondônia,Sim,Polo,Polo,Média concentração urbana,Capital Regional B,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,32042,0.2655809697725993,0.458741379471757,0.2353356712406016,0.04034191067747728,519531,4080.998054014101,0,0
17,Presidente Médici,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21515,0.0966361770234453,0.3069753906895168,0.3282526000089135,0.2681332106407019,19409,1863.001700242156,0,0
18,Rio Crespo,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,28611,0.07107878787878788,0.107529696969697,0.290870303030303,0.5305018181818182,3723,911.8990061778136,1,1
19,Rolim de Moura,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,24077,0.2090971677154146,0.4180105828200455,0.2921832803416302,0.0807073062033551,54702,2091.075280611312,1,1
20,Santa Luzia D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21625,0.0962424208120786,0.1898246085707615,0.3502734521476429,0.363645368293701,6781,782.0380474856215,0,0
21,Vilhena,Norte,Rondônia,Não,Polo,do Entorno,,Centro Subregional B,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,28420,0.1860586021342532,0.4860909242165422,0.2682338658247712,0.05961619290681738,97448,3687.761678023151,0,0
22,São Miguel do Guaporé,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,31025,0.1900031280993757,0.2275403206079483,0.2233922532841337,0.3590628154969898,22931,1610.003924817932,1,1
23,Nova Mamoré,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17095,0.05141813884737502,0.1912386762538155,0.3799544903470878,0.3773846056341196,29757,657.7611990456027,0,0
24,Alvorada D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17423,0.04748401648654788,0.2334363742576185,0.3993322623567975,0.3197432901697336,14722,679.527238146991,0,0
25,Alto Alegre dos Parecis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21053,0.04376929459340265,0.1553135348068859,0.3338254311150313,0.4670842645816671,13227,825.3572238602858,0,0
26,Alto Paraíso,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15655,0.07560533948688364,0.2400141018861273,0.4036344406518917,0.2807461179750974,20999,796.9427115576932,0,0
27,Buritis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17489,0.05944351290359182,0.2878203835146686,0.3742798068558605,0.2784547208109028,38937,1192.259290648997,0,0
28,Novo Horizonte do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18946,0.06118948370781911,0.2077907336053426,0.3633972996663997,0.3676098705328145,8751,825.3913838418466,1,1
29,Cacaulândia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22718,0.0245850630001391,0.1429198972083727,0.3106811043510729,0.5217992927584616,6190,652.827140549273,1,1
30,Campo Novo de Rondônia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20011,0.08263538488617696,0.09678992607369162,0.3459685226472659,0.4746024994132833,14009,545.0781640374045,1,1
31,Candeias do Jamari,Norte,Rondônia,Sim,do Entorno,do Entorno,Média concentração urbana,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21856,0.3427925020900864,0.1905168746974875,0.3108013464556535,0.1558874433476584,25983,864.6037793942193,1,1
32,Castanheiras,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,36238,0.01619646144498554,0.06808680432752039,0.2365989244679018,0.6791087411921539,3119,882.9753126001923,1,1
33,Chupinguaia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,27680,0.177869455081412,0.1824060878685143,0.2734976323794325,0.3662233403136618,10886,1316.737093514606,0,0
34,Cujubim,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14739,0.1725088479553339,0.1629980260007242,0.4161838739443776,0.2483092520995643,24226,603.6076942128292,0,0
35,Governador Jorge Teixeira,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22085,0.02750071901064136,0.09658901351740005,0.3287949381650848,0.5471095772217429,8095,608.8943792464484,0,0
36,Itapuã do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17551,0.1502255935604347,0.2083579804446919,0.3873771993922313,0.2540276279620028,10272,764.4080996884736,0,0
37,Ministro Andreazza,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21126,0.06278531738654439,0.2325246328313813,0.3290626097374564,0.3756171118134308,9762,1289.489858635525,0,0
38,Mirante da Serra,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19672,0.06330008752272225,0.2774999278658883,0.3400498206265088,0.319145355044098,11080,904.3321299638989,0,0
39,Monte Negro,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18031,0.0843840070948193,0.2093562929569137,0.3702128445791146,0.3360431601507649,15695,788.9136667728576,0,0
40,Nova União,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17178,0.02919271634040518,0.1155153564961908,0.3947934816029517,0.4604899046838167,7047,563.2183908045977,0,0
41,Parecis,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17923,0.03149956492313642,0.1074833220535628,0.3941216281543072,0.4668858164942473,5947,531.1921977467631,,1
42,Pimenteiras do Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,47731,0.03256144086593914,0.1136052208716569,0.2233263340529777,0.6304872879267343,2191,1432.679141944318,0,0
43,Primavera de Rondônia,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20598,0.03581921289969937,0.1455486471713583,0.4251673954632413,0.3934476632959825,2939,678.802313712147,1,1
44,São Felipe D'Oeste,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16961,0.02669028844038397,0.1553479000937923,0.4382417989601788,0.3796968539039613,5280,604.9242424242425,1,1
45,São Francisco do Guaporé,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17778,0.04911479495258735,0.2028593658241395,0.3643783592033601,0.3836444990296877,19842,871.9887108154419,0,0
46,Seringueiras,Norte,Rondônia,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,19812,0.05057745917960971,0.2141486550088701,0.3556306795554107,0.3796386807139495,11860,1181.450252951096,1,1
